Unnamed: 0,Player Name,Salary,Position,Age,Team,GP,MP,FG,FGA,FG%,3P,3PA,3,2P,2PA,2,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Total Minutes
353.0,Tre Jones,1782621.0,PG,23.0,SAS,68.0,29.2,5.0,10.9,0.459,0.7,2.3,0.285,4.4,8.6,0.506,2.2,2.5,0.86,0.8,2.8,3.6,6.6,1.3,0.1,1.6,12.9,1984.0
354.0,Haywood Highsmith,1752638.0,PF,26.0,MIA,54.0,17.9,1.7,4.0,0.431,0.7,2.0,0.339,1.0,2.0,0.523,0.2,0.5,0.464,1.1,2.4,3.5,0.8,0.7,0.3,0.8,4.4,969.0
357.0,Terry Taylor,1703902.0,PF,23.0,CHI/IND,31.0,8.5,1.3,2.4,0.52,0.2,0.6,0.263,1.1,1.8,0.607,0.2,0.4,0.545,0.9,0.6,1.5,0.3,0.1,0.2,0.3,2.9,264.0
359.0,Jericho Sims,1639842.0,C,24.0,NYK,52.0,15.6,1.6,2.1,0.776,0.0,0.0,0.0,1.6,2.0,0.783,0.2,0.3,0.75,1.9,2.8,4.7,0.5,0.3,0.5,0.5,3.4,812.0
360.0,Sam Hauser,1637966.0,SF,25.0,BOS,80.0,16.1,2.3,5.0,0.455,1.8,4.2,0.418,0.5,0.8,0.656,0.2,0.2,0.706,0.4,2.1,2.6,0.9,0.4,0.3,0.4,6.4,1290.0
361.0,Kessler Edwards,1637966.0,SF,22.0,BRK/SAC,36.0,10.7,1.0,2.6,0.387,0.5,1.5,0.309,0.5,1.1,0.5,0.3,0.4,0.733,0.6,1.1,1.7,0.6,0.4,0.2,0.4,2.8,385.0
363.0,Vit Krejci,1563518.0,PG,22.0,ATL,29.0,5.7,0.5,1.3,0.405,0.2,0.7,0.238,0.3,0.6,0.625,0.0,0.1,0.5,0.2,0.7,0.9,0.6,0.2,0.0,0.2,1.2,165.0
364.0,JT Thor,1563518.0,PF,20.0,CHO,69.0,14.0,1.4,3.4,0.399,0.6,1.8,0.317,0.8,1.7,0.487,0.5,0.7,0.702,0.5,1.7,2.2,0.5,0.3,0.3,0.6,3.8,969.0
366.0,Ayo Dosunmu,1563518.0,SG,23.0,CHI,80.0,26.2,3.5,7.1,0.493,0.7,2.4,0.312,2.8,4.8,0.583,0.8,1.0,0.805,0.6,2.2,2.8,2.6,0.8,0.3,1.2,8.6,2098.0
367.0,Isaiah Livers,1563518.0,PF,24.0,DET,52.0,23.1,2.3,5.5,0.417,1.4,3.9,0.365,0.9,1.6,0.541,0.6,0.8,0.821,0.5,2.2,2.8,0.8,0.5,0.5,0.6,6.7,1199.0
368.0,Daishen Nix,1563518.0,PG,20.0,HOU,57.0,16.0,1.4,4.2,0.342,0.7,2.5,0.286,0.7,1.7,0.423,0.4,0.6,0.667,0.3,1.4,1.7,2.3,0.5,0.1,1.5,4.0,914.0
370.0,Austin Reaves,1563518.0,SG,24.0,LAL,64.0,28.8,4.0,7.7,0.529,1.3,3.4,0.398,2.7,4.3,0.631,3.6,4.1,0.864,0.5,2.5,3.0,3.4,0.5,0.3,1.5,13.0,1843.0
371.0,Jose Alvarado,1563518.0,PG,24.0,NOP,61.0,21.5,3.3,8.0,0.411,1.4,4.0,0.336,1.9,4.0,0.488,1.1,1.3,0.813,0.5,1.9,2.3,3.0,1.1,0.2,1.3,9.0,1310.0
372.0,Miles McBride,1563518.0,PG,22.0,NYK,64.0,11.9,1.2,3.4,0.358,0.6,2.1,0.299,0.6,1.3,0.457,0.4,0.7,0.667,0.2,0.6,0.8,1.1,0.6,0.1,0.4,3.5,760.0
373.0,Aaron Wiggins,1563518.0,SG,24.0,OKC,70.0,18.5,2.7,5.2,0.512,0.7,1.7,0.393,2.0,3.4,0.573,0.8,1.0,0.831,1.0,2.0,3.0,1.1,0.6,0.2,0.8,6.8,1297.0
374.0,Jock Landale,1563518.0,C,27.0,PHO,69.0,14.2,2.6,4.9,0.528,0.3,1.2,0.25,2.3,3.7,0.621,1.1,1.5,0.752,1.7,2.3,4.1,1.0,0.2,0.4,0.9,6.6,979.0
375.0,Trendon Watford,1563518.0,PF,22.0,POR,62.0,19.1,2.9,5.2,0.56,0.4,1.0,0.391,2.5,4.2,0.602,1.2,1.6,0.72,0.7,3.2,3.8,2.1,0.5,0.2,1.1,7.4,1182.0
376.0,Dalano Banton,1563518.0,PG,23.0,TOR,31.0,9.0,1.8,4.2,0.423,0.5,1.6,0.294,1.3,2.5,0.506,0.5,0.8,0.708,0.4,1.1,1.5,1.2,0.4,0.4,0.6,4.6,279.0
377.0,Christian Koloko,1500000.0,C,22.0,TOR,58.0,13.8,1.2,2.6,0.48,0.0,0.2,0.083,1.2,2.4,0.514,0.6,1.0,0.627,1.4,1.5,2.9,0.5,0.4,1.0,0.3,3.1,802.0
378.0,Bryce McGowens,1461055.0,SG,20.0,CHO,46.0,17.1,1.7,4.4,0.396,0.6,1.7,0.325,1.2,2.7,0.443,1.3,1.7,0.75,0.4,1.6,2.0,1.2,0.3,0.1,0.9,5.3,787.0
379.0,Jordan Goodwin,1280206.0,PG,24.0,WAS,62.0,17.8,2.5,5.7,0.448,0.6,1.9,0.322,1.9,3.8,0.511,0.9,1.1,0.768,0.9,2.4,3.3,2.7,0.9,0.4,0.9,6.6,1106.0
380.0,Kennedy Chandler,1200000.0,PG,20.0,MEM,36.0,7.8,1.0,2.3,0.422,0.1,0.4,0.133,0.9,1.9,0.485,0.2,0.4,0.462,0.3,0.8,1.1,1.6,0.3,0.1,0.5,2.2,281.0
381.0,Noah Vonleh,1160955.0,C,27.0,BOS,23.0,7.4,0.5,1.0,0.458,0.0,0.2,0.25,0.4,0.9,0.5,0.1,0.1,1.0,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.1,171.0
382.0,Sandro Mamukelashvili,1116112.0,C,23.0,SAS/MIL,43.0,15.3,2.3,5.3,0.422,0.7,2.3,0.303,1.6,3.0,0.511,0.9,1.3,0.684,1.6,2.7,4.3,1.4,0.3,0.3,0.8,6.1,660.0
384.0,Tyrese Martin,1017781.0,SG,23.0,ATL,16.0,4.1,0.6,1.4,0.391,0.1,0.4,0.143,0.5,1.0,0.5,0.1,0.1,1.0,0.3,0.4,0.8,0.1,0.1,0.0,0.1,1.3,66.0
385.0,Jaden Hardy,1017781.0,SG,20.0,DAL,48.0,14.8,3.0,6.9,0.438,1.3,3.3,0.404,1.7,3.7,0.469,1.4,1.6,0.823,0.2,1.6,1.9,1.4,0.4,0.1,1.0,8.8,708.0
387.0,Max Christie,1017781.0,SG,19.0,LAL,41.0,12.5,1.1,2.6,0.415,0.6,1.5,0.419,0.4,1.1,0.409,0.3,0.4,0.875,0.2,1.7,1.8,0.5,0.2,0.2,0.3,3.1,512.0
388.0,Josh Minott,1017781.0,SF,20.0,MIN,15.0,6.4,1.2,2.4,0.5,0.1,0.4,0.333,1.1,2.0,0.533,0.5,0.5,1.0,0.3,1.3,1.7,0.3,0.3,0.4,0.2,3.1,96.0
389.0,Jabari Walker,1017781.0,SF,20.0,POR,56.0,11.1,1.5,3.5,0.419,0.3,1.0,0.286,1.2,2.5,0.472,0.6,0.8,0.756,0.9,1.5,2.3,0.6,0.2,0.2,0.5,3.9,619.0
390.0,Eugene Omoruyi,1013119.0,SF,25.0,DET/OKC,40.0,16.1,2.5,5.7,0.443,0.6,2.2,0.281,1.9,3.5,0.547,1.3,1.9,0.68,1.1,1.7,2.8,0.7,0.7,0.1,0.9,7.0,645.0
391.0,Kris Dunn,1000001.0,PG,28.0,UTA,22.0,25.8,5.3,9.8,0.537,0.8,1.6,0.472,4.5,8.2,0.55,1.9,2.4,0.774,0.4,4.1,4.5,5.6,1.1,0.5,1.6,13.2,568.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
